id,name,role,profession,family,p_index,year
1,...-du,"['', '']",,"['', '']","['430244', '458695']","['', '']"
2,...]-gu₇,"['', '']",,"['', '']","['330679', '210464']","['', '64.0214']"
3,AN,"['', '', '', '', '', '', '', ""['source']"", '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['102017', '102456', '106307', '106862', '114357', '117363', '126671', '129522', '131625', '134698', '101357', '235557', '107485', '128400', '115503', '123810', '200532', '107359', '107359', '101016', '103590', '106414']","['', '', '', '', '', '', '', '', '', '', '55.0600', '61.0000', '63.1000', '64.0600', '66.0912', '70.0929', '75.0000', '75.1200', '75.1200', '81.1207', '85.0527', '86.0313']"
4,AN-AN,"['', '']",,"['', '']","['129505', '129505']","['', '']"
5,AN-[...],"['', '', '']",,"['', '', '']","['104217', '201024', '108667']","['62.0300', '76.0616', '85.1000']"
6,AN-x-[x],"['', '']",,"['', '']","['102351', '115813']","['66.1021', '77.0500']"
7,ARAD₂#-mu,"['', '', '']",maškim[administrator],"['', '', '']","['108023', '102508', '235387']","['', '66.0726', '76.1200']"
8,ARAD₂#-mu,"[""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']"", '', ""['representative']"", ""['representative']"", '']",,"['', '', '', '', '', '', '', '', '', '', '']","['320497', '113019', '212094', '235384', '128903', '114333', '104035', '124244', '416430', '112569', '118477']","['', '64.0900', '68.1200', '69.1100', '70.0108', '71.0705', '72.0508', '73.0220', '78.1129', '85.0300', '86.0400']"
9,ARAD₂#-mu#,"['', ""['representative']"", ""['representative']"", ""['representative']"", ""['representative']""]",,"['', '', '', '', '']","['123539', '332347', '274585', '126353', '109324']","['', '61.0100', '71.0000', '76.0924', '77.1214']"
10,ARAD₂-[...],"['', '', '', '']",,"['', '', '', '']","['129508', '430336', '103326', '117295']","['', '', '75.0300', '86.0328']"
11,ARAD₂-[hul₃-la],"['', ""['intermediary']""]",,"['', '']","['118460', '201452']","['64.0000', '76.0410']"
12,ARAD₂-[mu,"['', '', '']",maškim[administrator],"['', '', '']","['129491', '105191', '134689']","['', '74.1219', '76.1212']"
13,ARAD₂-[mu],"['', ""['representative']"", ""['representative']"", ""['representative']"", '', '']",,"['', '', '', '', '', '']","['123599', '131059', '101802', '118568', '101343', '104303']","['', '67.0810', '75.0900', '77.0000', '85.0311', '86.1225']"
14,ARAD₂-hul₃-la,"['', '', '', '', '', '', '', '', '', '', '', '', '']",,"['', '', '', '', '', '', '', '', '', '', '', '', '']","['122207', '126796', '128860', '290366', '390769', '430283', '115909', '201433', '127615', '235015', '109629', '124864', '123826']","['', '', '', '', '', '', '65.0603', '68.0917', '70.0100', '71.0200', '71.0602', '71.0812', '71.0822']"
